EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,SalesTerritoryKey,FirstName,LastName,MiddleName,Title,HireDate,BirthDate
1,18,14417807,11,Guy,Gilbert,R,Production Technician - WC60,2006-01-28,1981-11-12
2,7,253022876,11,Kevin,Brown,F,Marketing Assistant,2006-08-26,1986-12-01
3,14,509647174,11,Roberto,Tamburello,,Engineering Manager,2007-06-11,1974-06-12
4,3,112457891,11,Rob,Walters,,Senior Tool Designer,2007-07-05,1974-07-23
5,3,112457891,11,Rob,Walters,,Senior Tool Designer,2007-07-05,1974-07-23
6,267,480168528,11,Thierry,D'Hers,B,Tool Designer,2007-07-11,1959-02-26
7,112,24756624,11,David,Bradley,M,Marketing Manager,2007-07-20,1974-10-17
8,112,24756624,11,David,Bradley,M,Marketing Manager,2007-07-20,1974-10-17
9,23,309738752,11,JoLynn,Dobney,M,Production Supervisor - WC60,2007-07-26,1955-08-16
10,189,690627818,11,Ruth,Ellerbrock,Ann,Production Technician - WC10,2007-08-06,1956-01-03
11,3,695256908,11,Gail,Erickson,A,Design Engineer,2007-08-06,1952-04-27
12,189,912265825,11,Barry,Johnson,K,Production Technician - WC10,2007-08-07,1955-10-25
13,3,998320692,11,Jossef,Goldberg,H,Design Engineer,2007-08-24,1958-10-09
14,112,245797967,11,Terri,Duffy,Lee,Vice President of Engineering,2007-08-31,1971-03-01
15,189,844973625,11,Sidney,Higa,M,Production Technician - WC10,2007-09-02,1956-03-30
16,23,233069302,11,Taylor,Maxwell,R,Production Supervisor - WC50,2007-09-08,1955-10-31
17,189,132674823,11,Jeffrey,Ford,L,Production Technician - WC10,2007-09-20,1956-02-09
18,23,446466105,11,Jo,Brown,A,Production Supervisor - WC60,2007-09-27,1956-05-08
19,189,565090917,11,Doris,Hartwig,M,Production Technician - WC10,2007-10-09,1955-11-03
20,23,494170342,11,John,Campbell,T,Production Supervisor - WC60,2007-10-16,1956-03-07
21,189,9659517,11,Diane,Glimp,R,Production Technician - WC10,2007-10-27,1955-10-28
22,177,443968955,11,Steven,Selikoff,T,Production Technician - WC30,2008-07-01,1976-12-12
23,112,277173473,11,Peter,Krebs,J,Production Control Manager,2008-07-01,1982-06-03
24,201,835460180,11,Stuart,Munson,V,Production Technician - WC45,2008-07-02,1962-04-13
25,201,687685941,11,Greg,Alderson,F,Production Technician - WC45,2008-07-02,1975-11-15
26,188,498138869,11,David,Johnson,N,Production Technician - WC30,2008-07-02,1979-06-02
27,23,360868122,11,Zheng,Mu,W,Production Supervisor - WC10,2008-07-03,1983-05-26
28,111,964089218,11,Ivo,Salmre,William,Production Technician - WC20,2008-07-04,1981-08-03
29,89,384162788,11,Paul,Komosinski,B,Production Technician - WC40,2008-07-04,1980-06-13
30,154,749389530,11,Ashvini,Sharma,R,Network Administrator,2008-07-04,1976-10-25
31,16,571658797,11,Kendall,Keil,C,Production Technician - WC50,2008-07-05,1985-12-28
32,143,535145551,11,Paula,Barreto de Mattos,M,Human Resources Manager,2008-07-06,1975-09-11
33,214,761597760,11,Alejandro,McGuel,E,Production Technician - WC40,2008-07-06,1988-07-05
34,188,271438431,11,Garrett,Young,R,Production Technician - WC30,2008-07-07,1984-03-25
35,138,160739235,11,Jian Shuo,Wang,,Production Technician - WC30,2008-07-07,1983-02-24
36,87,586486572,11,Susan,Eaton,W,Stocker,2008-07-07,1977-09-17
37,87,337752649,11,Vamsi,Kuppa,N,Shipping and Receiving Clerk,2008-07-07,1976-10-16
38,40,113695504,11,Alice,Ciccu,O,Production Technician - WC50,2008-07-07,1977-08-26
39,9,276751903,11,Simon,Rapier,D,Production Technician - WC60,2008-07-08,1989-12-15
40,23,630184120,11,Jinghao,Liu,K,Production Supervisor - WC50,2008-07-08,1988-09-05
41,186,545337468,11,Michael,Hines,T,Production Technician - WC20,2008-07-09,1989-12-15
42,163,713403643,11,Yvonne,McKay,S,Production Technician - WC45,2008-07-09,1988-11-13
43,204,885055826,11,Peng,Wu,J,Quality Assurance Supervisor,2008-07-09,1975-10-17
44,112,441044382,11,Jean,Trenary,E,Information Services Manager,2008-07-11,1975-07-13
45,76,718299860,11,Russell,Hunter,,Production Technician - WC50,2008-07-12,1972-06-25
46,23,685233686,11,A. Scott,Wright,,Master Scheduler,2008-07-12,1968-04-17
47,214,295971920,11,Fred,Northup,T,Production Technician - WC40,2008-07-12,1989-01-23
48,7,95958330,11,Sariya,Harnpadoungsataya,E,Marketing Specialist,2008-07-12,1986-12-19
49,32,332040978,11,Willis,Johnson,T,Recruiter,2008-07-13,1978-02-15
50,40,857651804,11,Jun,Cao,T,Production Technician - WC50,2008-07-14,1979-02-03
51,222,553069203,11,Christian,Kleinerman,E,Maintenance Supervisor,2008-07-14,1975-08-18
52,188,351069889,11,Susan,Metters,A,Production Technician - WC30,2008-07-14,1982-10-31
