EmployeeKey;ParentEmployeeKey;EmployeeNationalIDAlternateKey;SalesTerritoryKey;FirstName;LastName;MiddleName;Title;HireDate;BirthDate
1;18;14417807;11;Guy;Gilbert;R;Production Technician - WC60;28.01.2006;12.11.1981
2;7;253022876;11;Kevin;Brown;F;Marketing Assistant;26.08.2006;01.12.1986
3;14;509647174;11;Roberto;Tamburello;;Engineering Manager;11.06.2007;12.06.1974
4;3;112457891;11;Rob;Walters;;Senior Tool Designer;05.07.2007;23.07.1974
5;3;112457891;11;Rob;Walters;;Senior Tool Designer;05.07.2007;23.07.1974
6;267;480168528;11;Thierry;D'Hers;B;Tool Designer;11.07.2007;26.02.1959
7;112;24756624;11;David;Bradley;M;Marketing Manager;20.07.2007;17.10.1974
8;112;24756624;11;David;Bradley;M;Marketing Manager;20.07.2007;17.10.1974
9;23;309738752;11;JoLynn;Dobney;M;Production Supervisor - WC60;26.07.2007;16.08.1955
10;189;690627818;11;Ruth;Ellerbrock;Ann;Production Technician - WC10;06.08.2007;03.01.1956
11;3;695256908;11;Gail;Erickson;A;Design Engineer;06.08.2007;27.04.1952
12;189;912265825;11;Barry;Johnson;K;Production Technician - WC10;07.08.2007;25.10.1955
13;3;998320692;11;Jossef;Goldberg;H;Design Engineer;24.08.2007;09.10.1958
14;112;245797967;11;Terri;Duffy;Lee;Vice President of Engineering;31.08.2007;01.03.1971
15;189;844973625;11;Sidney;Higa;M;Production Technician - WC10;02.09.2007;30.03.1956
16;23;233069302;11;Taylor;Maxwell;R;Production Supervisor - WC50;08.09.2007;31.10.1955
17;189;132674823;11;Jeffrey;Ford;L;Production Technician - WC10;20.09.2007;09.02.1956
18;23;446466105;11;Jo;Brown;A;Production Supervisor - WC60;27.09.2007;08.05.1956
19;189;565090917;11;Doris;Hartwig;M;Production Technician - WC10;09.10.2007;03.11.1955
20;23;494170342;11;John;Campbell;T;Production Supervisor - WC60;16.10.2007;07.03.1956
21;189;9659517;11;Diane;Glimp;R;Production Technician - WC10;27.10.2007;28.10.1955
22;177;443968955;11;Steven;Selikoff;T;Production Technician - WC30;01.07.2008;12.12.1976
23;112;277173473;11;Peter;Krebs;J;Production Control Manager;01.07.2008;03.06.1982
24;201;835460180;11;Stuart;Munson;V;Production Technician - WC45;02.07.2008;13.04.1962
25;201;687685941;11;Greg;Alderson;F;Production Technician - WC45;02.07.2008;15.11.1975
26;188;498138869;11;David;Johnson;N;Production Technician - WC30;02.07.2008;02.06.1979
27;23;360868122;11;Zheng;Mu;W;Production Supervisor - WC10;03.07.2008;26.05.1983
28;111;964089218;11;Ivo;Salmre;William;Production Technician - WC20;04.07.2008;03.08.1981
29;89;384162788;11;Paul;Komosinski;B;Production Technician - WC40;04.07.2008;13.06.1980
30;154;749389530;11;Ashvini;Sharma;R;Network Administrator;04.07.2008;25.10.1976
31;16;571658797;11;Kendall;Keil;C;Production Technician - WC50;05.07.2008;28.12.1985
32;143;535145551;11;Paula;Barreto de Mattos;M;Human Resources Manager;06.07.2008;11.09.1975
33;214;761597760;11;Alejandro;McGuel;E;Production Technician - WC40;06.07.2008;05.07.1988
34;188;271438431;11;Garrett;Young;R;Production Technician - WC30;07.07.2008;25.03.1984
35;138;160739235;11;Jian Shuo;Wang;;Production Technician - WC30;07.07.2008;24.02.1983
36;87;586486572;11;Susan;Eaton;W;Stocker;07.07.2008;17.09.1977
